"SEUCI","COUNTRY","ORDER_AMOUNT","UNIT_AMOUNT"
IIF58OO4LIB9VYX4,AE,8,55
IZN2IED5SSZ3ERDS,AE,19,52
J0IMUBLHO2NEMZL1,AE,21,91
K1T2KJ85PEYV7KY4,AE,4,54
K52VIOU7OUT6QEQC,AE,5,55
KK0PDH8N7RRB673X,AE,13,74
KT9MWW9T0B3TBV8Z,AE,25,72
LNKPGCEHT4WI5XES,AE,24,117
M2P1KDQ0R9O5JNQQ,AE,14,53
MCIOIU0TW7YPOWL3,AE,36,146
MYHEW6SOVJ6B16TA,AE,11,50
N0E4GREIEVHGLWMT,AE,11,54
N1PHB5MTT4N28XEO,AE,23,52
N4P8JQG3OHOTYHTB,AE,4,68
NB0DUD8G4UH9VXQV,AE,28,118
NB7P1MTYOMXICHVH,AE,5,62
NI5Z4TX783HMWF1W,AE,36,120
NKCV8GSA96A0IGIH,AE,18,50
NZD4GZOW9SUNX53C,AE,35,188
ODX21B6D2JCNT8OZ,AE,24,101
OE1U7KENP9L3EDL2,AE,4,57
OSUY6U2Z4O97PR0F,AE,9,52
OV1N6L3273J0ZESG,AE,16,80
PYG5SV1L64AW53HZ,AE,21,75
Q7CJMY08L0VBBZNY,AE,13,67
QO3VLLFD8BL5PF0O,AE,10,64
QQF37E5GEO2DSCNC,AE,14,51
R0YYSZKRVEV9GF4T,AE,53,142
RF8YJRT5WBB4D39Q,AE,7,76
RIVN6GEQRK8JD4PK,AE,17,61
RLC6FQTAPSM2FAR3,AE,9,62
RZ4U02VMXVHR2VSK,AE,9,73
S09OADSXYZCRHNCW,AE,17,81
S8HMXEPSE2O57OKX,AE,11,59
SALLKRM6R6RW9UGQ,AE,14,99
SU0K44418O4WO2SK,AE,12,82
SW3CIN9V9F3FO6Y8,AE,42,145
SXG9MY2EJ2LUO4OD,AE,13,61
SZZGGXXKF2SL3EY4,AE,19,94
TEX5AIUTNWJNOG6E,AE,5,60
TF4ATH0GOA3QIZR3,AE,18,59
TWBKTL3PSDRTR90C,AE,27,121
U05HO0S3NRJR3RJD,AE,7,62
U329MSW39RARBQZE,AE,15,96
U4E1JVTYMCXTJJV7,AE,27,88
UG4E1TPXWDA8RY0U,AE,12,68
USAROGB3C4M2J6M0,AE,16,67
V15S8SCYBQQ5M6FE,AE,26,57
V8C4O475BC4QAJ9Q,AE,13,50
VEQQ8QPFDGI49RWA,AE,23,56
VZ24HYC9Z2KM3C0H,AE,25,110
WFPEBR8SRLH4XF95,AE,12,95
WOJIANHE0JSWNH2A,AE,11,63
WQH6WS79WIDEVXSQ,AE,13,51
WQZMN69GIP320Q6S,AE,23,74
X7NDLGCFHCG4HD44,AE,34,147
XJ3EH6LOAUXV9GKI,AE,13,94
XJSJ7NZANNZ6HK2B,AE,23,111
XUE6O06KYXLMS7UX,AE,23,93
XZKY9LK476R4EWEO,AE,9,59
Y0NJJ139BTVOQBLI,AE,21,47
Y3BF7N5JSHQMEJL3,AE,19,63
"05REORFGTTGKBF0H",AR,25,50
"0J8QNQKAMXUJJ4QZ",AR,47,50
"0N4Z1WOEC37APU2K",AR,26,28
"0OQXVW2WNRCWKRLJ",AR,21,34
"1FT6WCFOR1NXEV9S",AR,39,53
"1GT9ENUJHT9W1QN0",AR,22,28
"29UJ0FL9X6VFHX54",AR,28,44
"2DDNAX0M7YCB41YN",AR,9,53
"2L9CSCVMEVCU8PVE",AR,7,59
"2SWM13HJDUF4Z502",AR,22,9
"30IL4VWZCKXDGUHO",AR,21,67
"3LQOJBEHDY9CTQQD",AR,25,25
"3NO42V9VS8AA0FJ8",AR,23,2
"4PSW7JN1DR5Z64HN",AR,22,31
"52IE8BC1FZWFIHXP",AR,23,4
"54OMRRWZN7KSGD6I",AR,32,42
"56GRA8FR9ZP6H8LG",AR,11,59
"5BMK38NDHLAY2OE8",AR,62,6
"5CZ7A1EJH0TT9GVI",AR,24,33
"630GWJVX7U89RM4W",AR,28,45
"6O34XCANIVQLWX0O",AR,27,52
"6S2M7J7RY7L2DV4J",AR,21,23
"6d83353f-649b-be5f-e3e8-beb4c0c71f91",AR,17,91
"7G630431FDJXIMPF",AR,32,59
"7JO3FYG8TI4WP8J2",AR,20,75
"7L3DU4T6ER6QMPS1",AR,24,26
"7LFUDH002OR1CPJ9",AR,21,33
"7LGK7YAK3MLY087Q",AR,21,34
"7NKXMD0JR6RUUMDP",AR,28,17
"7YJESY4WEP8SUZAA",AR,33,42
"81UTXZBLCOMFVHC2",AR,31,40
"827YR0A62TBTH826",AR,28,33
"83HXVNWH9MDQGVLZ",AR,22,30
"86EQYCQ5XKMG3SG1",AR,25,32
"8C1YO8PC4IKKKDMH",AR,14,58
"8KYV7SIZH4711ND9",AR,39,112
"8ZM11KEAYI3SY7GY",AR,24,32
"9H7FSKFZ1QX8ZE5T",AR,22,28
"9QMU3Q0ZZSQLG9H4",AR,26,47
A7G1NHZSYTTZ49CX,AR,22,9
ACDXQHYS5BPL1MCT,AR,23,18
AGVLO90H59QOFF4L,AR,26,30
AHGASQ0J0INYBPUB,AR,49,71
AMBTP4LY6ULEMWDU,AR,22,24
APUGY8TKH9AR1HXF,AR,26,33
AQLHVHDSQWAA6CNG,AR,24,29
AS2AN7Y64QIHVJ81,AR,18,54
B7VHN0DCQW0U5YSA,AR,10,54
BDJ5RD9ITHJ3QSOW,AR,18,52
BG60MITLJ1TTOQ2K,AR,31,42
BGUHV9C48HI689TQ,AR,27,40
BKHCZP2ID02LFW8E,AR,23,30
C025EZJ75Q8F0H5I,AR,25,36
C1BA2BM3W2CCH6CQ,AR,23,35
CIQWMX4KIUX3CIID,AR,8,51
CL0Q0U5D4D7EI821,AR,28,38
COBDLR75TKRLB92P,AR,21,28
CP5AYX2UKQM2LJAO,AR,40,11
F3XM8Q6KPU10MCCR,AR,45,8
FC2NWKI69PDLWPOY,AR,29,51
FFDOQYBM494HMIGZ,AR,37,59
FWNOA4FW64XKTHCL,AR,27,34
G3TV5DWNU5S7648H,AR,24,30
G56QMMN5OTOS2E4G,AR,5,52
GB89KCH9UNYYZWKR,AR,21,54
GRWM1LQW3YEU0OEG,AR,29,39
HOWZ2Y0J4CFJH82K,AR,21,27
I5KCZSU11H4U6CQO,AR,26,41
I85E5XS6T1S90PPG,AR,29,41
IETMO90YOYFMR1I9,AR,21,18
IP0Q1C13PRLE5JEJ,AR,26,30
IQT5MZQ33U7HFW8H,AR,24,28
IRNTI2N7HSJXEHD0,AR,24,33
J0B0FV89DEJ058HV,AR,24,22
JFQH8H9EZQBVOSXJ,AR,25,25
JJ9Y3DFNPIYWJTJ3,AR,27,7
JLGC0I9E13640ISU,AR,17,53
JQ8E8ZOZLW9JNM8S,AR,22,49
JXV9LE1O5SZOIBQO,AR,14,76
K9Z5T1HR50J37XA3,AR,9,58
KPMKOU4S5KYJIND0,AR,36,44
KVF2SHXCZNM31K4R,AR,35,27
LDXRG9X89WEWF2QH,AR,28,64
LPEHKUA1GXWB9NIO,AR,26,34
LQJOW7ULMZ706NCR,AR,25,59
LZ6PIBMG7LWPPFM3,AR,29,38
M0NWESQ7RAHKT1IL,AR,34,48
M6CNG9S4VRWOT0Y2,AR,34,84
MD57LFMKQ5F2H4WW,AR,21,30
MPW7D5UUCP5AJE02,AR,23,21
MSF9DGH39WBRGZ0C,AR,24,25
MU7UJXFUKVTY0QJQ,AR,26,34
MVVYM4ID7RDNJ6LV,AR,47,73
NBGH8LNHDJTOX4JR,AR,24,29
NC6TV8GXA10192EF,AR,40,68
NDTDTX1L3WIIVRHM,AR,30,32
NKU7XOPQP5W4ZQ2F,AR,30,43
O81OQ511V5QP7S07,AR,37,29
P3JI0G4QGA2DZZAL,AR,26,55
P6KUKGO38XXOARCD,AR,22,30
PSVKCBYMK3Z703LM,AR,22,30
PU5SFTPX2JFQZPRT,AR,22,43
Q870PMYUOM4Q5QKC,AR,31,75
QVM8WIPJLF3SOSG7,AR,38,23
R1HDSN2U10FPSBFU,AR,15,57
R7RJ2DWWVUKBA7KA,AR,34,50
REN6U36W1DNQYVEF,AR,20,54
RTD4D9SFB6D8J3D8,AR,25,25
S4GVWSUOV44F93TP,AR,25,2
S68ILB44OLU4WUKV,AR,8,55
SM2A92G9975BAS05,AR,26,15
SRAWCDLXMT1XWBJC,AR,26,34
SZ0LUBQU4TR3NWX6,AR,21,31
T9KDD9696F9R6RT7,AR,23,38
TD45BSSHN7WBQ6IM,AR,42,10
TEQ51OIWBXVO3AMY,AR,21,22
TYL8TF40AYTUT0Q7,AR,26,19
VJFRCODTC4L5G4BG,AR,53,56
VMZ5NFB17Y7NZWR2,AR,23,12
VQQNHQVSKZDX4SZY,AR,21,32
W53SE75Y7M9JYF8B,AR,28,47
WPP4BCB914RYWE6G,AR,28,12
X8JD12DR64R0M03D,AR,24,41
XAB9S0EIMNJWHPTP,AR,23,25
XBITIJ6BYRPK895L,AR,23,37
XIOUBX7I3S6YIA7T,AR,51,39
XJUBJH0ONIPR0DOG,AR,30,31
Y6Q1XAM6T3EN08M1,AR,23,33
YRI1KTQYKMDBYZX3,AR,23,28
YYNEOXG2G1ETDY67,AR,25,49
YYNQ6V2NHB36MLSM,AR,27,26
Z2D40Z8PIZ184ZGE,AR,25,27
ZCTPINXFYI72RVCV,AR,25,56
ZF5P8Y8TAJ2OW1OB,AR,24,33
"0XDDKZNQ8KN5B8DG",AT,24,36
"0XYY6MKQB1QAS0TC",AT,3,77
"16WJ885NJBZCOGWK",AT,21,99
"1EML2XRX23XVWZI4",AT,28,52
"1I1VVX5LSQE7MGEE",AT,32,32
"1c69069c-1aa3-59ad-c2ff-981a3d2c1b08",AT,14,73
"27TGAFM5VN3OUW92",AT,22,38
"2CGKMHOMU8L3BRSL",AT,31,8
"2Y93EFNZ668M56PE",AT,15,114
"2ZWIO8Q3H77RW1GN",AT,6,52
"363C4OT23IWZLHDR",AT,20,69
"4C9RMW8FH58QH2ZJ",AT,61,47
"4GF3QXFE91HCU48L",AT,36,166
"59O2GBA8OSB4LAQU",AT,26,37
"5EFN7X1BWAC4QLSC",AT,11,67
"63089E44-F65A-B062-1CB8-73CCDBA5F434",AT,18,88
"6CC7T6X4NT7DLXGP",AT,6,65
"6T87M3ZOV6CDQYL6",AT,6,59
"73560168-2A31-511C-398B-24A4F93AC4A0",AT,19,194
"7838ES32UEZMUGKL",AT,11,54
"7EGIRW4KAY8WW9RF",AT,23,31
"7I8XY9C8I1XSODKW",AT,19,78
"9G3BT3NYMTNJ6TM7",AT,2,67
ABHB0JJ316XVZSS5,AT,8,53
ANDWXQ0LXEYH4K65,AT,19,51
AVEWUYZK4AI7AZB1,AT,180,72
BYUPTE408DX79J8N,AT,21,27
DD6GYRGWMDY5D869,AT,47,87
DK6CXZPFE9T609MM,AT,4,54
DWTCYDDFDCSL0T7V,AT,21,24
EZWLH9NLBU34Y2A6,AT,8,54
FISJEXCQF2KYRUPU,AT,41,82
HYTIUBHKRLWDV4KP,AT,12,77
JTAJ8FCETQAAFYNI,AT,9,52
LZOWAKKZ6DO11VU7,AT,6,52
MINUFSQ7FPVC89UA,AT,8,59
NHI0HOHNSCKJI4YI,AT,23,35
NV46Y4F9UMDQEJUH,AT,15,55
OPAGUCNLDXRKFC3S,AT,16,58
PHF6FOVBVZ37BIYA,AT,21,54
RJPICEZOCSLS5DWF,AT,35,2
RODJ4XATKZ5QI0FH,AT,11,52
T8MB3XXGV8G6JBXI,AT,16,55
TE05KI32ZZO2OUZF,AT,22,20
TIDUD65A72X5GNL7,AT,26,79
UOJRITIWOJ8MLX0G,AT,16,50
WHRAQ75NY83C79J5,AT,25,35
XC500W77FM254GL8,AT,21,36
XXTZ6KJUVOV803T9,AT,15,57
ZIAIR7RTPZ0L5CNJ,AT,10,79
b237e3a0-17f3-b117-4d30-eefdcadbd85d,AT,6,63
db7a7f82-38bd-c717-f6b0-9108f107bd7b,AT,4,51
"0DQH2LWXVLUV5AAM",AU,23,72
"0MH5SJDXDDJ9ULVC",AU,13,50
"10YM0UHWXWLDW7ON",AU,47,138
"176XXBT8QDZYAX39",AU,24,9
"1LIW5KS8CZSDGEYW",AU,11,59
"1PTAX8TRARDCX2NS",AU,38,73
"1Q2H6SDJJQC7VBSM",AU,22,43
"1V31JT6HU0WDT0EW",AU,27,51
"29BJJ7KO8550VHNL",AU,41,70
"2B4T60B9PWPCJ881",AU,22,39
"2FKU1RZJ1DDC8P1N",AU,29,98
"2RQRSSNYP3Z7AVBL",AU,44,87
"2URPGJ24IPAO5G3A",AU,24,36
"2YM0O0CT7IS2F3J7",AU,23,47
"2YMEXJQU2CXF63V6",AU,22,38
"34HAZGUCFNRDT3OW",AU,15,159
"37WEC1YFBJVK584W",AU,30,53
"39POJQSO5SRKLGMO",AU,22,8
"3C4PPWZQSIS2C805",AU,59,88
"3HMYHBJ8G4HTKJ04",AU,16,76
"3MUNHIYCB0YAU4EE",AU,28,54
"3QHH3UGYF38SCNQA",AU,24,31
"3U6F0ICSBHTCD7F2",AU,16,68
"440CCU3YC05LQK4K",AU,5,107
"4QPRU5911IJRDGBZ",AU,9,63
"4VRCCHXOARIG78S6",AU,26,42
"5443IFW99AHTCYCR",AU,16,67
"548HO10HTWDO7HK4",AU,24,3
"5VXII3EB6DE57NQO",AU,21,17
"60XD2UO3GQH38NWI",AU,21,26
"63Q3IYV16CNZW8SC",AU,18,98
"6B8KB4H2G5YG6RDY",AU,16,51
"6KY6JC2UPJV7U2SC",AU,23,21
"6RSJCQWOM6YHGFK5",AU,26,42
"740CJXJ4D5VMXEWE",AU,2,65
"7BDS2I6TZCNG54DX",AU,23,3
"7I8WTYZTO278SPK5",AU,20,59
"7UQF8AZAUX9W08YH",AU,21,47
"9AVQHC87FM9723C6",AU,37,58
"9I5DFUZXTNZR3QYD",AU,17,65
"9I81G50DE1R871VL",AU,21,36
"9LV5AWO76FDW93IJ",AU,10,61
"9WFWIVKC4KA98BWX",AU,16,52
"9ZWIX1CBRY72G575",AU,33,55
AGXBWZ0ELNAORI20,AU,14,61
AJQOSHCKIIJTU7EV,AU,30,22
AR20PXD2ZXV417PN,AU,26,41
B21VINK3I5UL13F8,AU,22,35
B3NG50UOIUSAIHRY,AU,28,58
B86PX0F7HLEUX0SP,AU,28,35
BNJK25X5T437KEYZ,AU,28,34
BRDOLQOMHY0DXKU5,AU,10,83
C1ML2QYO5ZQTZ7ZT,AU,34,91
CEU5NW48V01PAY65,AU,4,59
D1Y1JJAKD1UTQP8S,AU,32,45
DEANNFXETKW495MK,AU,6,236
DHWKZ67LPD41FLVK,AU,23,23
DJ1JCMSM36G4HZDH,AU,15,63
DQMC14D2D6D0WG1W,AU,21,18
EVWCFT86J8F85ZOB,AU,27,34
EW41BNK1BYCIY0MP,AU,34,84
EXO5JAEQEM3K8W3B,AU,21,40
F91EJE0HUIR5J8LM,AU,4,66
FFR5FPPZEAPRLF6N,AU,21,23
G1OE6SUASS2GXUVW,AU,9,209
GBIJ4TL16LR1CAYN,AU,16,60
GGUJFCSVGIKO55P8,AU,28,31
GT337Q1YCQ1CGVNI,AU,21,64
GYIGRE2YWDO6V6RB,AU,24,30
H9MXQXGBT8V51FF4,AU,2,52
HTC9S1G5N0D0E1I5,AU,19,66
I7KYROJKLDP11AN9,AU,5,76
I9LVERRGC6TPSO4X,AU,45,61
IIZ0X3NMDK0RNP8L,AU,18,65
IJMIWDBSGR3THB0O,AU,25,46
ILIOL5MA8I1VZW55,AU,18,52
IMMYZG4HESD00ZVJ,AU,14,57
ISKFAZYCT7H9TJE1,AU,21,39
J8IWCU3PT0VMS16U,AU,21,18
JNUNSN8NO4KP2JPH,AU,17,61
JSBCNUIPSH3SXR78,AU,35,160
K7VNQ0SHEB1GDSZ0,AU,24,55
KC2A4X1N677NNKC7,AU,49,65
KF94K0YL8FLMRR0V,AU,8,63
KSZDX2YG4JIMCEJW,AU,10,60
L7M99142CNSXVNJR,AU,15,55
LATHBJ10TM1EOL00,AU,16,63
LBYE29PGBCQOH4IO,AU,34,62
LH7QB2OAYY6NYAYG,AU,4,59
LMHJD7FH78DXX4I2,AU,5,103
LNGT135V2F3N5FVL,AU,12,58
LP3HDM0BGTN9DYNG,AU,17,60
LWSKH0E5PJW1CH5Y,AU,22,67
M6HU88AT66XVNJ51,AU,28,83
ME2DETGBA3L8MDG1,AU,8,51
N2WN9Y2V3KE3BIB8,AU,35,62
N3Z19688LRT9VXYS,AU,61,167
N7DEY85LTOYCYI56,AU,31,26
NA80QZEP2LIK41W2,AU,22,39
NHOOV33XZSC3DQQV,AU,27,39
NL2836IHH7P3GMQ4,AU,21,31
NN2XJ3WVRQFOTQ4X,AU,24,22
O0Y5NPYG0N212PMJ,AU,15,70
OGC1DHHYDAI3TZ3B,AU,20,50
P060GKU32QN1CJZQ,AU,13,50
P0P0WD7CXVASZG8S,AU,3,63
PM7XHE7MPULMN7QK,AU,23,26
PX5KIVUWAQERIUKX,AU,5,50
Q028LBIFESY8HDR9,AU,21,26
QKTBJOUDC05SHITK,AU,38,70
RCZ672EDG8DQ7WFL,AU,17,56
RIMPXJWRP9MY8WTJ,AU,16,54
RK53CDUQMCTZ80WF,AU,41,54
RV7KBL5BCY11KY1W,AU,16,52
S16VNKK5TY6TCDOS,AU,24,37
S71ED9CRMNIS6ZLL,AU,21,22
SDCA4HCNV28OV2W4,AU,2,71
SEMUADB2FCP9L1LQ,AU,62,78
SH63OJL6U1AN1DUN,AU,25,32
SU9E10YEZ9QS2JW9,AU,22,47
T63ACTEFDA254NJX,AU,22,32
TJGGT2TWHADVL7PS,AU,24,45
TOJOLLPMBMK2BAL5,AU,32,55
UKDCAE6BCQAYB84G,AU,14,60
ULO6EW8X3BKM892O,AU,23,36
USIPZPHXXIBNPN3C,AU,8,57
VAW260JVOBRM1JFX,AU,21,86
VM21M2JA436H02NB,AU,22,40
VSR6MKL8CU4P3HNP,AU,5,65
VWJIGFM6DDCS5IL6,AU,40,85
W1S01EOJLQ280E36,AU,17,55
W6X1JICTM5IEADD3,AU,23,35
WJ0APE9EYI1T1BMS,AU,2,52
WQGO6KPYSP7XFB9K,AU,15,50
WVMT0AMIFX1ARAPM,AU,53,38
X7AQRFPUY4SXJ4XB,AU,8,51
XEKV053MRL889DRO,AU,13,52
Y0Y7KTYWWYMHVLWM,AU,21,29
YO91Z45RWSZXV61Q,AU,31,74
YXL9ZK1PQ41W98GV,AU,3,56
Z1R08VEDP92TX6KC,AU,4,59
ZLCBU01GS8AL5SN0,AU,7,56
ZQJSD2W3JAYJXM1R,AU,55,143
ZQMQOMNL75S9DJCO,AU,16,57
"2BD1QBKFCZ25IAPK",BE,25,49
"3YQXS117IIV4JC2P",BE,24,21
"3ZASQLEMTTZTI0V1",BE,40,92
"5RJ06IYYK00VLOHQ",BE,4,51
"60VZHDJQZVXJVJM8",BE,21,25
"6YKBS8683CCPXTPA",BE,7,52
"7I2U0O4W5R43AO9Z",BE,29,42
"8JAIGJ6D7FUW2RQE",BE,19,59
"8QDIFI6I4Q65WTNH",BE,20,151
"8SWF8L1NPJ0VD1G0",BE,3,67
"9CA9BLCWBYGC30YG",BE,23,49
"9DZA1OLK6OMFHG3C",BE,9,62
A4T3OTFKICGKB1K4,BE,8,66
AO3CLE2QJH8CSVMR,BE,18,63
AOC5MQDHHMR11MM7,BE,27,37
B3JZRMEVBHZNB2V1,BE,32,48
BTRW9FL1KMOPEGOE,BE,8,57
CC1BWNDI2WJT0LCY,BE,21,45
EI7Y42MEJ1BKGD6T,BE,7,115
FGHIBG9O7BX7ZLM5,BE,9,53
G9TUUOII2YZH9BJ2,BE,4,68
GDXRCDC1MWBJ2BI6,BE,16,52
GEYI5YJ7UBOUY7Q2,BE,6,53
GVB3N8ORP3Z864LD,BE,10,77
H8KHBQOAASQ4XRRF,BE,7,54
I02Z8GS7ZJ1PYN4F,BE,4,56
IWJJXVBIX6NGVMQI,BE,11,90
K2T1D7KIYLUAZPJX,BE,16,52
KUN3FF3BOFVUN8IB,BE,5,50
MRFMXU59OYNHQRKU,BE,5,54
MRRG7IOLOTEK25TY,BE,15,56
NYEU681Q7E8NYRFI,BE,5,57
QUVDTM5K9K2PY6C6,BE,19,80
RB5HQS7C7HG1VQVJ,BE,23,39
RQ2PPW4SJ91H9JJ5,BE,21,36
T63N7SIQ2VWIX7ZT,BE,3,65
TARDA9GM3985QS9O,BE,9,88
VEL4SCQ1SBJLG27L,BE,6,52
VFFRWCHKGEBT6564,BE,12,63
VTKXXU7A46VBPWK6,BE,42,46
XPUYSFNG83XCVMD9,BE,3,112
F8CG13XVL15YH88Z,BH,62,158
"03FMN7LI9UQVVMTE",BR,46,54
"05FK79FNEN4LD5CE",BR,16,50
"08CZ5B8NB2C5TWB5",BR,22,23
"0C2FRMGC1XQFG8VV",BR,7,61
"0DVFM66ZIARSBTYY",BR,2,53
"0FCEUPSRIT22Q1MS",BR,6,56
"0M7J58LHKT4VIP32",BR,25,18
"0W7ZM8NTC9ARB6NA",BR,21,32
"10aa3c42-c33d-e2c1-3679-26c1d2f5a47b",BR,13,74
"115B1IW8N2I71G2O",BR,29,35
"127QXE3UV9187I6N",BR,23,20
"140Z56IPPYD3P26Q",BR,15,60
"17OTXVCJ95XE0YDT",BR,21,33
"186KBWJ845ML7XK3",BR,20,67
"1CKRY6Q4SY112KIG",BR,24,31
"1F5VK237MSB0B71U",BR,21,13
"1HY3XYO3YD29JGCG",BR,26,41
"1INI8NVH2DJ87XII",BR,14,126
"1OQQN3EQN53AYSTP",BR,24,15
"1OXKOLP7X3QVNS75",BR,33,5
"1P2NBIG87BQ4BT94",BR,28,6
"1VDQSOJMCG6Q7Q12",BR,52,106
"1YWJEHOUBK46TM1S",BR,22,29
"1ZK49HZS539VFBVC",BR,27,61
"200CHQH9GRUN0DVR",BR,52,64
"24OFFZ1UNXZZX5I8",BR,23,31
"25UR32601B860VDT",BR,17,73
"27D4LSZVLYADQPV2",BR,26,30
"2EK4MT2QFQQV2Y2H",BR,28,63
"2GD10972TPFH5PGB",BR,56,63
"2LWLYPARYIA93U5K",BR,30,67
"2M18ZL18B5IQGCXO",BR,27,6
"2PW743ZB1I4AEY3Y",BR,27,74
"2R2IEB3FDHJ086Y0",BR,18,65
"2T9SFHP499PP4H8W",BR,25,69
"2UOL97TTLZNMCB6V",BR,45,79
"2VJEU79JND4OQVIF",BR,36,64
"309PCZLHHA0LNN80",BR,15,86
"321RNYMF9RWXF9PW",BR,36,28
"37OSEWR5MIUB7N2Q",BR,26,76
"3FFGSW31BNUUJB12",BR,29,30
"3L0NS7OZW747RUZA",BR,26,37
"3LLF76XGZP0MFBZF",BR,28,78
"3O0LSMXLZ6E83XJA",BR,15,56
"3SE52ZBE6YM2SZM8",BR,7,56
"3TDNGQX46Y7TWRYK",BR,19,57
"3VFMDGMWYL6XLIPB",BR,26,30
"3YYG4XLFPS53LB80",BR,17,58
"3e564e4c-3349-8306-a98e-b41de5ed4916",BR,32,96
"43XHGEA68O4LW22E",BR,36,17
"48AYNV5ZZO5E0HUU",BR,25,12
"49UC3181BV8OBM2W",BR,34,7
"4AE2PJZ88S186MBV",BR,9,53
"4FPNCJ85JQOB8A36",BR,24,56
"4NE6BO17RCUZQGC1",BR,24,52
"4QHSI7GFW5B8VCJM",BR,23,64
"4TP8M0DPDI4AVH6Y",BR,17,73
"4WMRQVJ449PSL7CZ",BR,33,22
"50ZSZ30D51GYR8YF",BR,31,45
"544HU7FEPXS6OXIY",BR,9,55
"57CBJE5ENURSI17Q",BR,24,64
"5B3CTMWUNA0FAAEZ",BR,21,48
"5ESIT42U4NN01ZOF",BR,32,18
"5EXHOE1PGLHV8LLM",BR,30,23
"5KD5SWZGKX2NCVTX",BR,34,32
"5WZQZWODFO941II9",BR,35,91
"630017bd-8f16-14c4-3bee-637c433ea2f4",BR,26,23
"65NKI5G8H4BIUXNI",BR,34,35
"670FP22BF99U27PL",BR,31,43
"69P17XV8DKYQDAX7",BR,22,65
"6ABQ6YTH1NI0EQAK",BR,31,38
"6DD6V5IFGO51KCS7",BR,15,51
"6EEZ05YO7OK7KODF",BR,46,64
"6FION519HZ4FFFNS",BR,22,41
"6GX3AWAW1FYY3VW9",BR,27,38
"6P7ZXPIAP80IC39J",BR,16,55
"6POKN2D3WIW4QU0S",BR,24,20
"6RFBFA4A5QBQ0Q40",BR,17,137
"6SD8S4RQCBJWMMV2",BR,24,32
"6TF2KC6YB3GFSDEU",BR,21,24
"6U1RI4CYW3R20X9E",BR,29,134
"6V1JLUXOVYAMNZN7",BR,11,56
"6X8ZO7L5TK4HAHIG",BR,23,42
"6XCN2RZ2UJH9PHHD",BR,17,100
"6XKGARJ1TXWK4T6D",BR,15,84
"6ZW48W8WMP4U10SX",BR,23,31
"77N912EUX06FCQKO",BR,30,27
"793NFY8LW2B5JZ25",BR,26,32
"7APR5N72G3DX67A3",BR,29,57
"7JXNIPQHCICT08H8",BR,5,75
"7MGE6T16TF6KNMJ2",BR,33,34
"7SYWQO5DY3H0Z89A",BR,21,42
"7VXYISJBOM12U0QP",BR,21,25
"7XGC01CQ5YS1P7Q0",BR,20,50
"83KHK1WIFPOOK6J2",BR,25,15
"85FGPG3IY68M7BI2",BR,38,47
"8AGVZAQZBYQ0SPZM",BR,25,65
"8B3LY9MRMPZA1PHK",BR,8,71
"8F6H7W9A46DI6RY0",BR,16,82
"8FLQPSIWABTOYK2J",BR,28,42
"8H3JVQRECJ27PEJF",BR,22,16
"8JK6SJLKH3O10D4V",BR,31,34
"8K4819H12KQ8MQSJ",BR,25,60
"8LBR7P0ID4428TY9",BR,33,57
"8RTRIRR9X9EHL9JL",BR,26,11
